"Lab_Number"	"Catalog_Number"	"Box"	"Grid"	"Level"	"Identification"	"NISP"
"35991_JG-143"	"not cataloged"	"1"	"B-1"	"2"	"Acer negundo"	"1"
"35991_JG-144"	"not cataloged"	"1"	"B-1"	"2"	"Bone"	"1"
"35991_JG-145"	"not cataloged"	"1"	"B-1"	"2"	"Alnus rhombifolia"	"1"
"35991_JG-146"	"not cataloged"	"1"	"B-1"	"2"	"Wood"	"1"
"35991_JG-147"	"not cataloged"	"1"	"B-1"	"2"	"Madia elegans"	"1"
"35991_JG-148"	"not cataloged"	"1"	"B-1"	"2"	"Juniperus californica"	"1"
"35991_JG-149"	"not cataloged"	"1"	"B-1"	"2"	"Abies concolor"	"2"
"35991_JG-150"	"not cataloged"	"1"	"B-1"	"2"	"Astragalus accidens"	"1"
"35991_JG-151"	"not cataloged"	"1"	"B-1"	"2"	"Rosa californica"	"1"
"35991_JG-152"	"not cataloged"	"1"	"B-1"	"2"	"Wood"	"2"
"35991_JG-153"	"LACMP23-37500"	"1"	"B-1"	"2"	"Arctostaphylos viscida"	"1"
"35991_JG-154"	"not cataloged"	"1"	"B-1"	"2"	"Bone"	"1"
"35991_JG-155"	"not cataloged"	"1"	"B-1"	"2"	"scat"	"1"
"35991_JG-156"	"not cataloged"	"1"	"B-1"	"2"	"rock"	"1"
"35991_JG-157"	"not cataloged"	"1"	"B-1"	"2"	"Purshia tridentata"	"1"
"35991_JG-158"	"not cataloged"	"1"	"B-1"	"2"	"Astragalus accidens"	"1"
"35991_JG-159"	"not cataloged"	"1"	"B-1"	"2"	"Acer macrophyllum"	"1"
"35991_JG-160"	"not cataloged"	"1"	"B-1"	"2"	"Malosma laurina"	"1"
"35991_JG-161"	"not cataloged"	"1"	"B-1"	"2"	"Tooth"	"1"
"35991_JG-162"	"not cataloged"	"1"	"B-1"	"2"	"Stachys albens"	"1"
"35991_JG-163"	"not cataloged"	"1"	"B-1"	"2"	"Berula erecta"	"1"
"35991_JG-164"	"not cataloged"	"1"	"B-1"	"2"	"Maurandella antirrhinflora"	"1"
"35991_JG-165"	"not cataloged"	"1"	"B-1"	"2"	"Wood"	"2"
"35991_JG-166"	"not cataloged"	"1"	"B-1"	"2"	"Aconitum columbianum"	"1"
"35991_JG-167"	"not cataloged"	"1"	"B-1"	"2"	"Juniperus californica"	"1"
"35991_JG-168"	"not cataloged"	"1"	"B-1"	"2"	"Malosma laurina"	"1"
"35991_JG-169"	"not cataloged"	"1"	"B-1"	"2"	"Rhus aromatica"	"1"
"35991_JG-170"	"not cataloged"	"1"	"B-1"	"2"	"Potamogeton nodosus"	"0.5"
"35991_JG-171"	"LACMP23-37501"	"1"	"B-1"	"2"	"Arctostaphylos viscida"	"1"
"35991_JG-172"	"not cataloged"	"1"	"B-1"	"2"	"Pinus ponderosa"	"1"
"35991_JG-173"	"not cataloged"	"1"	"B-1"	"2"	"Convolvulus simulans"	"1"
"35991_JG-174"	"not cataloged"	"1"	"B-1"	"2"	"Astragalus accidens"	"1"
"35991_JG-175"	"LACMP23-39522"	"1"	"B-1"	"2"	"Juniperus sp."	"1"
"35991_JG-176"	"LACMP23-37502"	"1"	"B-1"	"2"	"Charcoal"	"63"
"35991_JG-177"	"not cataloged"	"1"	"B-1"	"2"	"Bone"	"1"
"35991_JG-178"	"not cataloged"	"1"	"B-1"	"2"	"Sisyrinchium bellum"	"1"
"35985_JG-179"	"not cataloged"	"1"	"A-1"	"3"	"Juniperus californica"	"1"
"35985_JG-180"	"not cataloged"	"1"	"A-1"	"3"	"Datura wrightii"	"1"
"35985_JG-181"	"not cataloged"	"1"	"A-1"	"3"	"Hippuris vulgaris"	"1"
"35985_JG-182"	"not cataloged"	"1"	"A-1"	"3"	"Rock"	"1"
"35985_JG-183"	"not cataloged"	"1"	"A-1"	"3"	"Tauschia parishii"	"1"
"35985_JG-184"	"not cataloged"	"1"	"A-1"	"3"	"Bone"	"2"
"35985_JG-185"	"not cataloged"	"1"	"A-1"	"3"	"Cyperaceae"	"1"
"35985_JG-186"	"not cataloged"	"1"	"A-1"	"3"	"Bone"	"1"
"35985_JG-187"	"not cataloged"	"1"	"A-1"	"3"	"Bone"	"6"
"35985_JG-188"	"not cataloged"	"1"	"A-1"	"3"	"Bone"	"1"
"35985_JG-189"	"not cataloged"	"1"	"A-1"	"3"	"Sisyrinchium bellum"	"4"
"35985_JG-190"	"not cataloged"	"1"	"A-1"	"3"	"Wood"	"1"
"35985_JG-191"	"not cataloged"	"1"	"A-1"	"3"	"Rosa gymnocarpa"	"2"
"35985_JG-192"	"not cataloged"	"1"	"A-1"	"3"	"Arnica sororia"	"1"
"35985_JG-193"	"not cataloged"	"1"	"A-1"	"3"	"rock"	"1"
"35985_JG-194"	"not cataloged"	"1"	"A-1"	"3"	"Ambrosia acanthicarpa"	"0.5"
"35985_JG-195"	"not cataloged"	"1"	"A-1"	"3"	"Wood"	"2"
"35985_JG-196"	"not cataloged"	"1"	"A-1"	"3"	"Rock"	"1"
"35985_JG-197"	"LACMP23-37503"	"1"	"A-1"	"3"	"Wood"	"1"
"35985_JG-198"	"not cataloged"	"1"	"A-1"	"3"	"Rock"	"1"
"35985_JG-199"	"not cataloged"	"1"	"A-1"	"3"	"Wood"	"1"
"35985_JG-200"	"not cataloged"	"1"	"A-1"	"3"	"Wood"	"1"
"35985_JG-201"	"not cataloged"	"1"	"A-1"	"3"	"Rock"	"1"
"35985_JG-202"	"not cataloged"	"1"	"A-1"	"3"	"Wood"	"1"
"35985_JG-203"	"not cataloged"	"1"	"A-1"	"3"	"Wood"	"1"
"35985_JG-204"	"not cataloged"	"1"	"A-1"	"3"	"Rock"	"1"
"35985_JG-205"	"not cataloged"	"1"	"A-1"	"3"	"Salvia spathacea"	"0.5"
"35985_JG-206"	"not cataloged"	"1"	"A-1"	"3"	"Nemophila maculata"	"1"
"35985_JG-207"	"not cataloged"	"1"	"A-1"	"3"	"Iris macrosiphon"	"1"
"35985_JG-208"	"not cataloged"	"1"	"A-1"	"3"	"rock"	"2"
"35985_JG-209"	"not cataloged"	"1"	"A-1"	"3"	"Bone"	"1"
"35985_JG-210"	"not cataloged"	"1"	"A-1"	"3"	"Wood"	"1"
"35985_JG-211"	"not cataloged"	"1"	"A-1"	"3"	"Rock"	"1"
"35985_JG-212"	"not cataloged"	"1"	"A-1"	"3"	"Juniperus californica"	"1"
"35985_JG-213"	"LACMP23-37504"	"1"	"A-1"	"3"	"Charcoal"	"1"
"35992_JG-214"	"not cataloged"	"1"	"B-1"	"3"	"Rock"	"17"
"35992_JG-215"	"LACMP23-37505"	"1"	"B-1"	"3"	"Juniperus californica"	"2.5"
"35992_JG-216"	"LACMP23-37506"	"1"	"B-1"	"3"	"Quercus dumosa"	"1"
"35992_JG-217"	"not cataloged"	"1"	"B-1"	"3"	"Lamiaceae"	"1"
"35992_JG-218"	"not cataloged"	"1"	"B-1"	"3"	"Hippuris vulgaris"	"1"
"35992_JG-219"	"not cataloged"	"1"	"B-1"	"3"	"Pinus sabiniana"	"3"
"35992_JG-220"	"LACMP23-37507"	"1"	"B-1"	"3"	"Platanus racemosa"	"7"
"35992_JG-221"	"LACMP23-37508"	"1"	"B-1"	"3"	"charcoal"	"6"
"35992_JG-222"	"LACMP23-37509"	"1"	"B-1"	"3"	"Persicaria lapathifolia"	"2"
"35992_JG-223"	"not cataloged"	"1"	"B-1"	"3"	"Chenopodium atrovirens"	"0.5"
"35992_JG-224"	"LACMP23-37510"	"1"	"B-1"	"3"	"Juniperus californica"	"11"
"35992_JG-225"	"LACMP23-37511"	"1"	"B-1"	"3"	"Prunus andersonii"	"0.5"
"35992_JG-226"	"not cataloged"	"1"	"B-1"	"3"	"Galium trifidium"	"1"
"35992_JG-227"	"LACMP23-37512"	"1"	"B-1"	"3"	"Juniperus sp."	"142"
"35992_JG-228"	"LACMP23-37513"	"1"	"B-1"	"3"	"Juniperus sp."	"119"
"35992_JG-229"	"not cataloged"	"1"	"B-1"	"3"	"Mica"	"4"
"35992_JG-230"	"not cataloged"	"1"	"B-1"	"3"	"Lupinus albifrons"	"1"
"35992_JG-231"	"LACMP23-37514"	"1"	"B-1"	"3"	"Juniperus californica"	"5"
"35992_JG-232"	"not cataloged"	"1"	"B-1"	"3"	"Quercus dumosa"	"2"
