OriginalName	RevisedName	Order	Family	Genus	Precipitation Affinity	Temperature Affinity	Diet Group	Diet Breadth
Peromyscus ?maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
Peromyscus cf maiculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
Peromyscus cf maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	Neutral	Neutral	Omnivore	Generalist
Reithrodontomys cf megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	Neutral	Neutral	Granivore	Intermediate
Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	Neutral	Neutral	Granivore	Intermediate
Scapanus latimus	Scapanus latimus	Eulipotyphla	Talpidae	Scapanus	Neutral	Neutral	Insectivore	Specialist
Sorex cf ornatus	Sorex ornatus	Eulipotyphla	Soricidae	Sorex	Neutral	Neutral	Insectivore	Specialist
Sorex sp	Sorex sp	Eulipotyphla	Soricidae	Sorex	Neutral	Neutral	Insectivore	Specialist
Spermophilus sp	Spermophilus sp	Rodentia	Sciuridae	Spermophilus	Neutral	Neutral	Granivore	Generalist
Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	Neutral	Neutral	Omnivore	Generalist
Sylvilagus ?audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	Xeric	Neutral	Herbivore	Intermediate
Sylvilagus audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	Xeric	Neutral	Herbivore	Intermediate
Sylvilagus bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus	Neutral	Neutral	Herbivore	Intermediate
Sylvilagus cf audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	Xeric	Neutral	Herbivore	Intermediate
Sylvilagus sp	Sylvilagus sp	Lagomorpha	Leporidae	Sylvilagus	Xeric	Neutral	Herbivore	Intermediate
Tamias cf merriami	Tamias merriami	Rodentia	Sciuridae	Tamias	NA	NA	NA	NA
Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	NA	NA	NA	NA
Tamias/Neotamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	NA	NA	NA	NA
Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea	NA	NA	NA	NA
Thomomys bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys	Xeric	Warm	Herbivore	Intermediate
Thomomys cf bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys	Xeric	Warm	Herbivore	Intermediate
Thomomys sp	Thomomys sp	Rodentia	Geomyidae	Thomomys	Xeric	Warm	Herbivore	Intermediate
Vertebrata-NA	Vertebrata	NA	NA	NA	NA	NA	NA	NA
Vertebrata cf Mammalia-NA	Mammalia	NA	NA	NA	NA	NA	NA	NA
