NSF Number	Grid/Level	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	Museum_Number	prelim_taxon_name	element
NSF-19-106	A3/L3	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-107	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	partial upper rt M1					
NSF-19-108	A3/L3	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower lt m2	juv?				
NSF-19-109	A3/L3	Mammalia	Rodentia	cf Sciuridae				lower tooth frag					
NSF-19-110	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	cf audubonii	lower rt p3	water-worn, juv				
NSF-19-111	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt p3	simple-moderate crenulation, juv				
NSF-19-112	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag					
NSF-19-113	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower lt tooth					
NSF-19-114	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth					
NSF-19-115	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth frag					
NSF-19-116	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag					
NSF-19-117	A3/L1	Mammalia	Lagomorpha	Leporidae		cf Sylvilagus		tooth frag					
NSF-19-118	A3/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower m3 frag					
NSF-19-119	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	upper rt M3 frag					
NSF-19-120	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag					
NSF-19-121	A3/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	molar frag					
NSF-19-122	A3/L1	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	upper rt. P4					
NSF-19-123	A3/L1	Mammalia	Rodentia	Sciuridae				partial upper lt. M1/M2	square/spatulate-shaped, large				
NSF-19-124	A3/L1	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	upper rt. M1/M2					
NSF-19-125	A3/L1	Mammalia	Rodentia	Sciuridae		Otospermophilus	beecheyi	upper lt. M3	worn				
NSF-19-126	A3/L1	Mammalia	Rodentia	Sciuridae				lower lt. p4	juv				
NSF-19-127	A3/L1	Mammalia	Rodentia	Sciuridae		Tamias	sp	upper rt. M1/M2					
NSF-19-128	A3/L1	Mammalia	Rodentia	cf Sciuridae				tooth frag					
NSF-19-129	A3/L1	Mammalia	Carnivora					premolar					
NSF-19-131	A3/L1	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	lower m1/m2	weathered				
NSF-19-132	A3/L1	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	partial lower m1/m2					
NSF-19-133	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-134	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-135	A3/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth frag					
NSF-19-136	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	small accessory loph				
NSF-19-137	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys		lower rt m1					
NSF-19-138	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Reithrodontomys		upper lt M1					
NSF-19-139	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m1	surface covered, m1 grade 0				
NSF-19-140	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2					
NSF-19-141	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae			upper lt M2					
NSF-19-142	A3/L1	Mammalia	Lagomorpha	Leporidae	Leporinae			lower m3	large for Sylvilagus				
NSF-19-143	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	sp	lower rt m1					
NSF-19-144	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus		molar frag					
NSF-19-145	A2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower tooth frag					
NSF-19-146	A2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower rt tooth					
NSF-19-147	A2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-148	A2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	lower tooth frag					
NSF-19-149	A2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	Sylvilagus	sp	upper tooth frag					
NSF-19-150	A2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	cf Sylvilagus		tooth frag					
NSF-19-151	A2/L1	Mammalia	Lagomorpha	Leporidae	Leporinae	cf Sylvilagus		tooth frag					
NSF-19-152	A2/L1	Mammalia	Rodentia	Heteromyidae		Dipodomys	sp	upper M1/M2					
NSF-19-153	A2/L1	Mammalia	Rodentia	cf Geomyidae		cf Thomomys		molar	juv?				
NSF-19-154	A2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv				
NSF-19-155	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Reithrodomtomys	cf megalotis	lower rt m1					
NSF-19-156	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	cf Peromyscus		upper rt M1	juv?				
NSF-19-157	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			lower rt m2					
NSF-19-158	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae			partial rt dentary					
