OriginalName	RevisedName	Order	Family	Genus	Species	BodyMass_Mean	Precip_Mean	Temp_Mean	NDVI_Mean
Scapanus latimanus	Scapanus latimus	Eulipotyphla	Talpidae	Scapanus	S.latimanus	62.46	NA	NA	NA
Sorex cf ornatus	Sorex ornatus	Eulipotyphla	Soricidae	Sorex	S.ornatus	5.31	NA	NA	NA
Sorex sp	Sorex sp	Eulipotyphla	Soricidae	Sorex	S.ornatus	5.31	NA	NA	NA
Spermophilus sp	Spermophilus sp	Rodentia	Sciuridae	Spermophilus	O.beecheyi	597.82	49.14	103.49	4755
Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	S.gracilis	462.5	34.13	117.65	2971
Sylvilagus ?audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	S.audubonii	880.88	31.66	130.6	2756
Sylvilagus audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	S.audubonii	880.88	31.66	130.6	2756
Sylvilagus bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus	S. bachmani	714.53	45.6	129.2	4433
Sylvilagus cf audubonii	Sylvilagus audubonii	Lagomorpha	Leporidae	Sylvilagus	S.audubonii	880.88	31.66	130.6	2756
Sylvilagus cf bachmani	Sylvilagus bachmani	Lagomorpha	Leporidae	Sylvilagus	S. bachmani	714.53	45.6	129.2	4433
Sylvilagus sp	Sylvilagus sp	Lagomorpha	Leporidae	Sylvilagus	NA	NA	NA	NA	NA
Tamias cf merriami	Tamias merriami	Rodentia	Sciuridae	Tamias	T.merriami	74.77	NA	NA	NA
Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	T.merriami	74.77	NA	NA	NA
Tamias/Neotamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	T.merriami	74.77	NA	NA	NA
Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea	T.taxus	NA	NA	NA	NA
Thomomys bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys	T.bottae	122.7	26.71	139.89	2644
Thomomys cf bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys	T.bottae	122.7	26.71	139.89	2644
Thomomys sp	Thomomys sp	Rodentia	Geomyidae	Thomomys	T.bottae	122.7	26.71	139.89	2644
Urocyon cinereoargenteus	Urocyon cinereoargenteus	Carnivora	Canidae	Urocyon	U.cinereoargenteus	NA	NA	NA	NA
Vertebrata-NA	Vertebrata	NA	NA	NA	NA	NA	NA	NA	NA
Vertebrata cf Mammalia-NA	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Peromyscus cf californicus	Peromyscus californicus	Rodentia	Cricetidae	Peromyscus	P.californicus	42.68	NA	NA	NA
cf Peromyscus cf californicus	Peromyscus californicus	Rodentia	Cricetidae	Peromyscus	P.californicus	42.68	NA	NA	NA
Thomomys ?bottae	Thomomys bottae	Rodentia	Geomyidae	Thomomys	T.bottae	122.7	26.71	139.89	2644
