"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"Element_original"	"Notes"	"Last.ID.revision"	"Museum_Number"	"prelim_taxon_name"	"box"
"131"	"NSF-16-118a"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Upper tooth"	""	""	"LACMP23-28228"	"Sylvilagus sp."	"1"
"132"	"NSF-16-118b"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"upper tooth frag"	""	""	"LACMP23-28229"	"Mammalia-Lagomorpha"	"1"
"133"	"NSF-16-118c"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Upper tooth"	""	""	"LACMP23-28230"	"Sylvilagus sp."	"1"
"134"	"NSF-16-118d"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Upper tooth"	""	""	"LACMP23-28231"	"Sylvilagus sp."	"1"
"135"	"NSF-16-118e"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Lower right tooth"	""	""	"LACMP23-28232"	"Sylvilagus sp."	"1"
"136"	"NSF-16-118f"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Lower right tooth"	""	""	"LACMP23-28233"	"Sylvilagus sp."	"1"
"137"	"NSF-16-118g"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Lower p3"	"poorly preserved"	""	"LACMP23-28234"	"Sylvilagus sp."	"1"
"138"	"NSF-16-118h"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Lower left tooth"	""	""	"LACMP23-28235"	"Sylvilagus sp."	"1"
"139"	"NSF-16-118i"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"upper tooth frag"	""	""	"LACMP23-28236"	"Mammalia-Lagomorpha"	"1"
"140"	"NSF-16-119"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp."	"upper right M1"	""	""	"LACMP23-28237"	"Peromyscus sp."	"1"
"141"	"NSF-16-120"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp."	"upper left M2"	""	""	"LACMP23-28238"	"Peromyscus sp."	"1"
"142"	"NSF-16-121"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m2"	""	""	"LACMP23-28239"	"Mammalia-Rodentia"	"1"
"143"	"NSF-16-122"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper left M3"	""	""	"LACMP23-28240"	"Mammalia-Rodentia"	"1"
"144"	"NSF-16-123a"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"Juv. Upper right tooth"	""	""	"LACMP23-28241"	"Sylvilagus sp."	"1"
"145"	"NSF-16-123b"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"Juv. Upper tooth frag"	""	""	"LACMP23-28242"	"Mammalia-Lagomorpha"	"1"
"146"	"NSF-16-124"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp."	"upper left M1"	""	""	"LACMP23-28243"	"Peromyscus sp."	"1"
"147"	"NSF-16-125"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf. Peromyscus"	"sp."	"upper right M2"	"acid etched?"	""	"LACMP23-28244"	"cf. Peromyscus sp."	"1"
"148"	"NSF-16-126"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper left M1"	""	""	"LACMP23-28245"	"Mammalia-Rodentia"	"1"
"149"	"NSF-16-127"	"B2/L3"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Perognathus"	"sp."	"upper (right?) P4"	""	""	"LACMP23-28246"	"Perognathus sp."	"1"
"150"	"NSF-16-128a"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"juv. Tooth frag"	""	""	"LACMP23-28247"	"Mammalia-Lagomorpha"	"1"
"151"	"NSF-16-128b"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"Juv. Upper tooth frag"	""	""	"LACMP23-28248"	"Mammalia-Lagomorpha"	"1"
"152"	"NSF-16-129"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"juv. Tooth frag"	""	""	"LACMP23-28249"	"Mammalia-Lagomorpha"	"1"
"153"	"NSF-16-130"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	""	"lower left m1"	""	""	"LACMP23-28250"	"Mammalia-Rodentia"	"1"
"154"	"NSF-16-131"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	""	"lower right m2"	"acid etched?"	""	"LACMP23-28251"	"Mammalia-Rodentia"	"1"
"155"	"NSF-16-132"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper left M2"	""	""	"LACMP23-28252"	"Mammalia-Rodentia"	"1"
"156"	"NSF-16-133a"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Lower right p3"	"occlusal surface broken"	""	"LACMP23-28253"	"Sylvilagus sp."	"1"
"157"	"NSF-16-133b"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Lower tooth"	""	""	"LACMP23-28254"	"Sylvilagus sp."	"1"
"158"	"NSF-16-134"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Peromyscus"	"sp."	"upper right M2"	""	""	"LACMP23-28255"	"Peromyscus sp."	"1"
"159"	"NSF-16-135"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	""	""	"tooth frag"	""	""	"LACMP23-28256"	"Leporidae"	"1"
"160"	"NSF-16-136"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"cf. Peromyscus"	""	"upper right M1"	"acid etched?"	""	"LACMP23-28257"	"Mammalia-Rodentia"	"1"
"161"	"NSF-16-137"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	""	"Peromyscus"	"sp."	"lower right m1"	""	""	"LACMP23-28258"	"Peromyscus sp."	"1"
"162"	"NSF-16-138"	"B2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. lower p3 (left?)"	"poorly preserved"	""	"LACMP23-28259"	"Sylvilagus sp."	"1"
"163"	"NSF-16-139"	"B2/L3"	"Mammalia"	"Rodentia/Lagomorpha"	""	""	""	""	"Misc. partial teeth, incisors, and dentary frags"	""	""	"Not Cataloged"	"Mammalia-Rodentia/Lagomorpha"	"1"
"164"	"NSF-16-140"	"B2/L3"	"Mammalia"	""	""	""	""	""	"baculum?"	""	""	"LACMP23-28260"	"Mammalia-"	"1"
"165"	"NSF-16-141"	"A1/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper left M3"	""	""	"LACMP23-28261"	"Otospermophilus cf. beecheyi"	"1"
"166"	"NSF-16-142"	"A1/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv. Lower left tooth"	""	""	"LACMP23-28262"	"Sylvilagus sp."	"1"
"167"	"NSF-16-143"	"A1/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower left tooth"	""	""	"LACMP23-28263"	"Sylvilagus sp."	"1"
"168"	"NSF-16-144"	"A1/L4"	"Mammalia"	"Carnivora"	"cf. Mustelidae"	""	"Taxidea"	"taxus"	"incisor frag"	""	""	"LACMP23-28264"	"Taxidea taxus"	"1"
"169"	"NSF-16-145a"	"A1/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	""	""	"tooth frag"	""	""	"LACMP23-28265"	"Leporidae"	"1"
"170"	"NSF-16-145b"	"A1/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"cf. audubonii"	"partial lower left p3"	"Juv"	"9/13/2018"	"LACMP23-28266"	"Sylvilagus cf. audubonii"	"1"
"171"	"NSF-16-146"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Neotoma"	""	"lower right m2"	""	""	"LACMP23-28267"	"Mammalia-Rodentia"	"1"
"172"	"NSF-16-147"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28268"	"Mammalia-Rodentia"	"1"
"173"	"NSF-16-148"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower left m1"	""	""	"LACMP23-28269"	"Mammalia-Rodentia"	"1"
"174"	"NSF-16-149"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28270"	"Mammalia-Rodentia"	"1"
"175"	"NSF-16-150"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper right M1"	""	""	"LACMP23-28271"	"Mammalia-Rodentia"	"1"
"176"	"NSF-16-151"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper left M2"	"anterior loop broken"	""	"LACMP23-28272"	"Mammalia-Rodentia"	"1"
"177"	"NSF-16-152"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower m3"	""	""	"LACMP23-28273"	"Sylvilagus sp."	"1"
"178"	"NSF-16-153"	"A2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"lower left molar"	""	""	"LACMP23-28274"	"Otospermophilus cf. beecheyi"	"1"
"179"	"NSF-16-154"	"A2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"juv. lower right m1/m2"	""	""	"LACMP23-28275"	"Otospermophilus cf. beecheyi"	"1"
"180"	"NSF-16-155"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	""	"upper left P2"	""	""	"LACMP23-28276"	"Mammalia-Lagomorpha"	"1"
"181"	"NSF-16-156"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	""	"upper right P2"	""	""	"LACMP23-28277"	"Mammalia-Lagomorpha"	"1"
"182"	"NSF-16-157"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	""	"upper tooth"	""	""	"LACMP23-28278"	"Mammalia-Lagomorpha"	"1"
"183"	"NSF-16-158a"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	""	""	"tooth frag"	""	""	"LACMP23-28279"	"Leporidae"	"1"
"184"	"NSF-16-158b"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper tooth frag"	""	""	"LACMP23-28280"	"Sylvilagus sp."	"1"
"185"	"NSF-16-158c"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper right tooth frag"	""	""	"LACMP23-28281"	"Sylvilagus sp."	"1"
"186"	"NSF-16-158d"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	""	""	"tooth frag"	""	""	"LACMP23-28282"	"Leporidae"	"1"
"187"	"NSF-16-158e"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper tooth frag"	""	""	"LACMP23-28283"	"Sylvilagus sp."	"1"
"189"	"NSF-16-160"	"A2/L4"	"Mammalia"	"Rodentia/Lagomorpha"	""	""	""	""	"misc. skull and dentary frags"	""	""	""	"Mammalia-Rodentia/Lagomorpha"	"1"
"190"	"NSF-16-161"	"A2/L4"	"Mammalia"	"Carnivora"	""	""	""	""	"premolar cusp frag"	""	""	"LACMP23-28291"	"Mammalia-Carnivora"	"1"
"191"	"NSF-16-162"	"A2/L4"	"Mammalia"	""	""	""	""	""	"baculum?"	""	""	"LACMP23-28292"	"Mammalia-"	"1"
"192"	"NSF-16-163"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp."	"upper right M1"	""	""	"LACMP23-28293"	"Peromyscus sp."	"1"
"193"	"NSF-16-164"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"molar fragment"	""	""	"LACMP23-28294"	"Mammalia-Rodentia"	"1"
"194"	"NSF-16-165"	"A2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf. Otospermophilus"	"beecheyi"	"partial upper left M1-M2"	""	""	"LACMP23-28295"	"cf. Otospermophilus beecheyi"	"1"
"195"	"NSF-16-166"	"A2/L4"	"Mammalia"	"cf. Rodentia"	""	""	""	""	"tooth frag "	"strange looking"	""	"LACMP23-28296"	"Mammalia-cf. Rodentia"	"1"
"196"	"NSF-16-167"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"partial upper tooth"	""	""	"LACMP23-28297"	"Sylvilagus sp."	"1"
"197"	"NSF-16-168"	"A2/L4"	"Mammalia"	"Carnivora"	""	""	""	""	"incisor"	""	""	"LACMP23-28298"	"Mammalia-Carnivora"	"1"
"198"	"NSF-16-169"	"A2/L4"	"Mammalia"	"Carnivora"	""	""	""	""	"incisor"	""	""	"LACMP23-28299"	"Mammalia-Carnivora"	"1"
"199"	"NSF-16-170"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"left upper M3"	""	""	"LACMP23-28300"	"Mammalia-Rodentia"	"1"
"200"	"NSF-16-171"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower molar fragment"	""	""	"LACMP23-28301"	"Mammalia-Rodentia"	"1"
"201"	"NSF-16-172"	"A2/L4"	"Mammalia"	"Rodentia"	"Heteromyidae"	""	"Perognathus"	"sp."	"upper left M1/M2"	""	""	"LACMP23-28302"	"Perognathus sp."	"1"
"202"	"NSF-16-173"	"A2/L4"	"Mammalia"	""	""	""	""	""	"partial tooth incisor"	""	""	"LACMP23-28303"	"Mammalia-"	"1"
"203"	"NSF-16-174"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper right M1"	""	""	"LACMP23-28204"	"Mammalia-Rodentia"	"1"
"204"	"NSF-16-175"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper right M2"	""	""	"LACMP23-28305"	"Mammalia-Rodentia"	"1"
"205"	"NSF-16-176"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right M3"	""	""	"LACMP23-28306"	"Mammalia-Rodentia"	"1"
"206"	"NSF-16-177"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower left M3"	""	""	"LACMP23-28307"	"Mammalia-Rodentia"	"1"
"207"	"NSF-16-178"	"A2/L4"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp."	"lower left m1/m2"	""	""	"LACMP23-28308"	"Thomomys sp."	"1"
"208"	"NSF-16-179"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right M2"	""	""	"LACMP23-28309"	"Mammalia-Rodentia"	"1"
"209"	"NSF-16-180"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right M2"	"anterior broken"	""	"LACMP23-28310"	"Mammalia-Rodentia"	"1"
"210"	"NSF-16-181"	"A2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	""	""	"lower molar fragment"	""	""	"LACMP23-28311"	"Sciuridae"	"1"
"211"	"NSF-16-182"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower left M2"	"posterior broken"	""	"LACMP23-28312"	"Mammalia-Rodentia"	"1"
"212"	"NSF-16-183"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf. Peromyscus"	""	"moderately worn lower left m2"	""	""	"LACMP23-28313"	"Mammalia-Rodentia"	"1"
"213"	"NSF-16-184"	"A2/L4"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"partial upper right P4"	""	""	"LACMP23-28314"	"Otospermophilus cf. beecheyi"	"1"
"214"	"NSF-16-185"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower left tooth"	""	""	"LACMP23-28315"	"Sylvilagus sp."	"1"
"215"	"NSF-16-186"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper right M1"	""	""	"LACMP23-28316"	"Mammalia-Rodentia"	"1"
"216"	"NSF-16-187"	"A2/L4"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper left tooth"	""	""	"LACMP23-28317"	"Sylvilagus sp."	"1"
"217"	"NSF-16-188"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"partial upper left M3"	""	""	"LACMP23-28318"	"Mammalia-Rodentia"	"1"
"218"	"NSF-16-189"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper molar fragment"	""	""	"LACMP23-28319"	"Mammalia-Rodentia"	"1"
"219"	"NSF-16-190"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper left M2"	"anterior loop broken"	""	"LACMP23-28320"	"Mammalia-Rodentia"	"1"
"220"	"NSF-16-191"	"A2/L4"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper right M1 fragment"	""	""	"LACMP23-28321"	"Mammalia-Rodentia"	"1"
"222"	"NSF-16-193"	"A2/L4"	"Mammalia"	"Carnivora"	"Canidae"	""	"Canis"	"sp."	"upper right incisor fragment"	""	""	"LACMP23-28324"	"Canis sp."	"1"
"223"	"NSF-16-194"	"A2/L4"	"Mammalia"	"Rodentia/Lagomorpha"	""	""	""	""	"misc. incisors and tooth frags"	""	""	"Not Cataloged"	"Mammalia-Rodentia/Lagomorpha"	"1"
"224"	"NSF-16-195"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28325"	"Mammalia-Rodentia"	"1"
"225"	"NSF-16-196"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28326"	"Mammalia-Rodentia"	"1"
"226"	"NSF-16-197"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28327"	"Mammalia-Rodentia"	"1"
"227"	"NSF-16-198"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower left m1"	""	""	"LACMP23-28328"	"Mammalia-Rodentia"	"1"
"228"	"NSF-16-199"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper right M1"	""	""	"LACMP23-28329"	"Mammalia-Rodentia"	"1"
"229"	"NSF-16-200"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper left M1"	""	""	"LACMP23-28330"	"Mammalia-Rodentia"	"1"
"230"	"NSF-16-201"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper right M3"	""	""	"LACMP23-28331"	"Mammalia-Rodentia"	"1"
"231"	"NSF-16-202"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"upper left M3"	""	""	"LACMP23-28333"	"Mammalia-Rodentia"	"1"
"232"	"NSF-16-203"	"A2/L5"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper left P4"	""	""	"LACMP23-28334"	"Otospermophilus cf. beecheyi"	"1"
"233"	"NSF-16-204"	"A2/L5"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"upper left M3"	""	""	"LACMP23-28335"	"Otospermophilus cf. beecheyi"	"1"
"234"	"NSF-16-205"	"A2/L5"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"Otospermophilus"	"cf. beecheyi"	"partial upper right P4"	""	""	"LACMP23-28336"	"Otospermophilus cf. beecheyi"	"1"
"235"	"NSF-16-206"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"right maxilla and zygoma w/ P3"	""	""	"LACMP23-28337"	"Sylvilagus sp."	"1"
"236"	"NSF-16-207"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper right tooth"	""	""	"LACMP23-28338"	"Sylvilagus sp."	"1"
"237"	"NSF-16-208"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper right tooth"	""	""	"LACMP23-28339"	"Sylvilagus sp."	"1"
"238"	"NSF-16-209"	"A2/L5"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"cf. bottae"	"upper left P4"	""	""	"LACMP23-28340"	"Thomomys cf. bottae"	"1"
"239"	"NSF-16-210"	"A2/L5"	"Mammalia"	"Rodentia/Lagomorpha"	""	""	""	""	"Misc. rodent/lagomorph partial teeth, incisors, and skull frags"	""	""	"Not Cataloged"	"Mammalia-Rodentia/Lagomorpha"	"1"
"240"	"NSF-16-211"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"cf. audubonii"	"juv. lower right p3"	"juv"	"9/13/2018"	"LACMP23-28341"	"Sylvilagus cf. audubonii"	"1"
"241"	"NSF-16-212"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower left tooth"	""	""	"LACMP23-28332"	"Sylvilagus sp."	"1"
"242"	"NSF-16-213"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper right tooth"	""	""	"LACMP23-28342"	"Sylvilagus sp."	"1"
"243"	"NSF-16-214"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"maxillary frag w/ tooth alveolus"	""	""	"LACMP23-28343"	"Sylvilagus sp."	"1"
"244"	"NSF-16-215"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper right M3"	""	""	"LACMP23-28344"	"Microtus sp."	"1"
"245"	"NSF-16-216"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower m3"	""	""	"LACMP23-28345"	"Sylvilagus sp."	"1"
"246"	"NSF-16-217"	"A2/L5"	"Mammalia"	"Carnivora"	"Mustelidae"	""	"Mustela"	"cf. frenata"	"lower right m2"	""	""	"LACMP23-28390"	"Mustela cf. frenata"	"1"
"247"	"NSF-16-218"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	"sp."	"partial tooth"	""	""	"LACMP23-28391"	"cf. Sylvilagus sp."	"1"
"248"	"NSF-16-219a"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"molar frag"	""	""	"LACMP23-28392"	"Mammalia-Rodentia"	"1"
"249"	"NSF-16-219b"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"molar frag"	""	""	"LACMP23-28393"	"Mammalia-Rodentia"	"1"
"250"	"NSF-16-220"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"partial molar"	""	""	"LACMP23-28394"	"Microtus sp."	"1"
"251"	"NSF-16-221"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper right M2"	""	""	"LACMP23-28395"	"Microtus sp."	"1"
"252"	"NSF-16-222"	"A2/L5"	"Mammalia"	"Rodentia"	""	""	""	""	"anterior left dentary frag"	""	""	"LACMP23-28396"	"Mammalia-Rodentia"	"1"
"253"	"NSF-16-223"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper right M2"	"occlusal surface worn/broken"	""	"LACMP23-28397"	"Microtus sp."	"1"
"254"	"NSF-16-224"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	""	""	""	"lower molar"	"broken in three frags"	""	"LACMP23-28398"	"Cricetidae"	"1"
"255"	"NSF-16-225"	"A2/L5"	"Mammalia"	"cf. Rodentia"	""	""	""	""	"tooth"	"strange looking"	""	"LACMP23-28399"	"Mammalia-cf. Rodentia"	"1"
"256"	"NSF-16-226"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"lower right m2"	""	""	"LACMP23-28400"	"Microtus sp."	"1"
"257"	"NSF-16-227"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp."	"upper left M1"	""	""	"LACMP23-28401"	"Peromyscus sp."	"1"
"258"	"NSF-16-228"	"A2/L5"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	"sp."	"partial tooth"	""	""	"LACMP23-28402"	"cf. Sylvilagus sp."	"1"
"259"	"NSF-16-229a"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"molar frag"	""	""	"LACMP23-28403"	"Mammalia-Rodentia"	"1"
"260"	"NSF-16-229b"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"molar frag"	""	""	"LACMP23-28404"	"Mammalia-Rodentia"	"1"
"261"	"NSF-16-230"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper left M2"	""	""	"LACMP23-28503"	"Microtus sp."	"1"
"262"	"NSF-16-231"	"A2/L5"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper left M3"	""	""	"LACMP23-28504"	"Microtus sp."	"1"
