"UCM_Number"	"Canister"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"	"Species"	"Element_original"	"Notes"	"Last.ID.revision"	"Museum_Number"	"prelim_taxon_name"	"box"
"94"	"NSF-16-81"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"lower right tooth"	""	""	"LACMP23-28169"	"Sylvilagus sp."	"1"
"96"	"NSF-16-83"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juv tooth frag"	""	""	"LACMP23-28176"	"Sylvilagus sp."	"1"
"97"	"NSF-16-84"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper left M2"	""	""	"LACMP23-28178"	"Microtus sp."	"1"
"98"	"NSF-16-85"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper right M2"	""	""	"LACMP23-28179"	"Microtus sp."	"1"
"99"	"NSF-16-86"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Peromyscus"	"sp."	"lower left m1"	""	""	"LACMP23-28180"	"Peromyscus sp."	"1"
"100"	"NSF-16-87"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"cf. Sylvilagus"	""	"upper tooth frag"	""	""	"LACMP23-28181"	"Mammalia-Lagomorpha"	"1"
"101"	"NSF-16-88"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf. Peromyscus"	""	"upper left M2 "	"worn/etched"	""	"LACMP23-28182"	"Mammalia-Rodentia"	"1"
"102"	"NSF-16-89"	"A2/L3"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp."	"lower right M1/M2"	""	""	"LACMP23-28183"	"Thomomys sp."	"1"
"103"	"NSF-16-90"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper right M1"	""	""	"LACMP23-28184"	"Microtus sp."	"1"
"104"	"NSF-16-91"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf. Otospermophilus"	""	"lower molar fragment"	""	""	"LACMP23-28185"	"Mammalia-Rodentia"	"1"
"105"	"NSF-16-92"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf. Peromyscus"	""	"upper left M1"	""	""	"LACMP23-28186"	"Mammalia-Rodentia"	"1"
"106"	"NSF-16-93"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"Lower right p3"	"very juv"	"9/13/2018"	"LACMP23-28187"	"Sylvilagus sp."	"1"
"107"	"NSF-16-94"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper left M2"	""	""	"LACMP23-28188"	"Microtus sp."	"1"
"108"	"NSF-16-95"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf. megalotis"	"lower left m2"	""	""	"LACMP23-28189"	"Reithrodontomys cf. megalotis"	"1"
"109"	"NSF-16-96"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf. Reithrodontomys"	""	"lower m1"	""	""	"LACMP23-28190"	"Mammalia-Rodentia"	"1"
"110"	"NSF-16-97"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper right M1"	""	""	"LACMP23-28191"	"Microtus sp."	"1"
"111"	"NSF-16-98"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"partial molar"	""	""	"LACMP23-28192"	"Mammalia-Rodentia"	"1"
"112"	"NSF-16-99"	"A2/L3"	"Mammalia"	"Rodentia"	"Sciuridae"	""	"cf. Otospermophilus"	"beecheyi"	"lower molar fragment"	""	""	"LACMP23-28193"	"cf. Otospermophilus beecheyi"	"1"
"113"	"NSF-16-100"	"A2/L3"	"Mammalia"	"??"	""	""	""	""	"partial tooth"	""	""	"LACMP23-28194"	"Mammalia-??"	"1"
"114"	"NSF-16-101"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"upper left M2"	""	""	"LACMP23-28195"	"Microtus sp."	"1"
"115"	"NSF-16-102"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"lower molar fragment"	"anterior broken"	""	"LACMP23-28196"	"Microtus sp."	"1"
"116"	"NSF-16-103"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"juvenile lower tooth fragment"	""	""	"LACMP23-28197"	"Sylvilagus sp."	"1"
"117"	"NSF-16-104"	"A2/L3"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"sp."	"lower right M1/M2"	""	""	"LACMP23-28198"	"Thomomys sp."	"1"
"118"	"NSF-16-105"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"partial upper molar "	""	""	"LACMP23-28224"	"Mammalia-Rodentia"	"1"
"119"	"NSF-16-106"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	"sp."	"partial lower right m1"	"posterior broken"	""	"LACMP23-28199"	"Microtus sp."	"1"
"120"	"NSF-16-107"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf. megalotis"	"upper right M1"	""	""	"LACMP23-28200"	"Reithrodontomys cf. megalotis"	"1"
"121"	"NSF-16-108"	"A2/L3"	"Mammalia"	"Rodentia"	"Geomyidae"	""	"Thomomys"	"cf. bottae"	"upper left P4"	""	""	"LACMP23-28201"	"Thomomys cf. bottae"	"1"
"122"	"NSF-16-109"	"A2/L3"	"Mammalia"	"Lagomorpha"	"Leporidae"	""	"Sylvilagus"	"sp."	"upper left P2"	""	""	"LACMP23-28202"	"Sylvilagus sp."	"1"
"123"	"NSF-16-110"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"molar fragment"	"both ends broken"	""	"LACMP23-28203"	"Mammalia-Rodentia"	"1"
"124"	"NSF-16-111"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"Reithrodontomys"	"cf. megalotis"	"lower left m2"	""	""	"LACMP23-28204"	"Reithrodontomys cf. megalotis"	"1"
"125"	"NSF-16-112"	"A2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Neotominae"	"cf Peromyscus"	""	"upper right M1"	""	""	"LACMP23-28205"	"Mammalia-Rodentia"	"1"
"126"	"NSF-16-113"	"A2/L3"	"Mammalia"	"Rodentia/Lagomorpha"	""	""	""	""	"misc. incisors, denary frags, and tooth frags"	""	""	NA	"Mammalia-Rodentia/Lagomorpha"	"1"
"127"	"NSF-16-114"	"B2/L3"	"Mammalia"	"Carnivora"	"Canidae"	""	"Canis"	"cf. dirus"	"upper right I2"	""	""	"LACMP23-28347"	"Canis cf. dirus"	"1"
"128"	"NSF-16-115"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower right m1"	""	""	"LACMP23-28225"	"Mammalia-Rodentia"	"1"
"129"	"NSF-16-116"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"Microtus"	""	"lower left m1"	"occlusal surface broken"	""	"LACMP23-28226"	"Mammalia-Rodentia"	"1"
"130"	"NSF-16-117"	"B2/L3"	"Mammalia"	"Rodentia"	"Cricetidae"	"Arvicolinae"	"cf. Microtus"	""	"left anterior dentary frag"	""	""	"LACMP23-28227"	"Mammalia-Rodentia"	"1"
