ABF updated museum database as of 3.5.2020 If you need to make additional changes please contact me with specifics									
RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1072	Bone	1	bone		not cataloging now	Bone
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1073	Turtle scute 	1	turtle scute		not cataloging now	Turtle scute
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1074	Sambucus nigra 	1	seed		LACMP23-42038	Seed samples
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1075	Thysanocarpus laciniatus	1	seed	Same as JG-538	LACMP23-42039	Santa Ana Botanic Garden
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1076	Charcoal	3	Charcoal		LACMP23-42040	Charcoal
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1077	Adenostoma fasciculatum 	0.5	seed		LACMP23-42041	Santa Ana Botanic Garden
P23 39531	Box 13 grid B-3 level 1	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1078	Aconitum columbianum	1	seed		LACMP23-42042	Santa Ana Botanic Garden
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1079	Juniperus californica 	30	seed		LACMP23-42043	Jesse
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1080	Juniperus sp.	40	seed		LACMP23-42044	Santa Ana Botanic Garden
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1081	Asclepias californica 	1	seed	same as JG-412	LACMP23-42045	Seed samples, Santa Ana Botanic Garden
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1082	Xanthium strumarium 	2	seed		LACMP23-42046	Seed samples
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1083	Platanus racemosa 	1	seed		LACMP23-42047	Seed samples
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1084	Solidago canadensis	6	seed		LACMP23-42048	Seed samples
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1085	Sisyrinchium bellum 	1	seed		LACMP23-42049	Seed samples
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1086	Berberis haematocarpa	1	seed	Same as JG-117	LACMP23-42050	Seed samples
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1087	Quercus lobata 	1	immature acorn		LACMP23-42051	Calscape
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1088	Quercus agrifolia 	1	immature acorn		LACMP23-42052	Calscape
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1089	Salix lasiolepis	1	seed		LACMP23-42053	Seed samples
P23 39532	Box 13 grid B-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1090	Bone	6	Bone		not cataloging now	Bone
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1091	Juniperus californica 	32	seed		LACMP23-42054	Jesse
P23 39533	Box 13 grid B-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-1092	Juniperus sp.	101	seed		LACMP23-42055	Santa Ana Botanic Garden
