Museum_Number	UCM_Number	Canister	Class	Order	Family	Subfamily	Genus	Species	Element_original	Notes	Last ID revision	include.in.diversity.stats														
	NSF-19-137	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	"surface covered, m1 grade 1+"	7/29/2019	y														
	NSF-19-138	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M1	surace covered	7/29/2019	y														
	NSF-19-139	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m1	"surface covered, m1 grade 0"	7/29/2019	y														
	NSF-19-140	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M2		7/29/2019	y														
	NSF-19-141	A3/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper lt M2		7/29/2019	y														
	NSF-19-142	A3/L1	Mammalia	Lagomorpha	Leporidae				lower m3	large for Sylvilagus		y														
	NSF-19-143	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	Microtus	californicus	lower rt m1		2/5/2019	y														
	NSF-19-144	A2/L1	Mammalia	Rodentia	Cricetidae	Arvicolinae	cf Microtus	sp	molar frag			y														
	NSF-19-145	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y														
	NSF-19-146	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower rt tooth			y														
	NSF-19-147	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-148	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	lower tooth frag			y														
	NSF-19-149	A2/L1	Mammalia	Lagomorpha	Leporidae		Sylvilagus	sp	upper tooth frag			y														
	NSF-19-150	A2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y														
	NSF-19-151	A2/L1	Mammalia	Lagomorpha	Leporidae		?Sylvilagus	sp	tooth frag			y														
	NSF-19-152	A2/L1	Mammalia	Rodentia	Heteromyidae	Dipodomyinae	Dipodomys	sp	upper M1/M2			y														
	NSF-19-153	A2/L1	Mammalia	Rodentia	?Geomyidae				molar	juv?	2/5/2019	y														
	NSF-19-154	A2/L1	Mammalia	Rodentia	Geomyidae/Heteromyidae				tooth	juv		y														
	NSF-19-155	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower lt m1	grade 0; juv? - large if juv	7/29/2019	y														
	NSF-19-156	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	upper rt M1	small accessory loph	7/29/2019	y														
	NSF-19-157	A2/L1	Mammalia	Rodentia	Cricetidae	Neotominae	Peromyscus	sp	lower rt m2		7/29/2019	y														
